	Weight	Dry_To_Fresh_Weight_Ratio_100	Sepal_Mm	Petal_Mm	Pericarp_And_Sep_Area_Ratio	Columella_Area	Locule_Number	Pericarp_Area	Pericarp_Max_Cell_Size	Pericarp_And_Sep_Area	Pericarp_Cell_Number_Per_Mm	Pericarp_Thickness	Sepal_To_Petal_Ratio	Pericarp_Area_Ratio	Pericarp_Cell_Number
BGV006859	-0.330577220059425	-0.0226521925669681	-0.0528752238203453	-0.267405939935071	-0.816852476771834	-0.375879650718902	0	-0.553943031162086	-0.575109281278438	-0.498921914616452	0.59357705541884	-0.333005098197297	0.0226521925669681	-0.933971738703879	0.187929806225951
BGV006865	-0.346568302422109	0.189887113917251	-0.582483631422211	-0.159221994374741	-0.553943031162086	-0.535424014586856	-1.52494535776262	-0.480920153761707	-0.729266746432731	-0.46307291711285	1.05390706969614	-0.520831048339629	-0.856780390386584	-0.553943031162086	0.450744212615359
BGV006867	-0.205285083421727	0.0983092327947111	-0.0983092327947109	0.495167446261611	-0.0159664635457842	-0.160342267446307	-1.47805170483704	-0.241823153406356	-0.14058378618707	-0.20906832091782	-0.109200481691432	0.0779243890270371	-0.251788147351179	0.079913902643638	-0.0467243547538138
BGV006881	0.0377593966194055	-0.582483631422211	-0.0831466413752392	0.0377593966194055	0.709995371569857	0.0479156842923997	0.308665805694934	0.308158428474715	-0.59357705541884	0.375879650718902	0.316592542654162	-0.124876758928478	-0.174534037589108	0.591567671638584	0.36610635680057
BGV006896	-0.159221994374741	0.251788147351179	-0.427967614598895	-0.346568302422109	-0.324944693878104	-0.29145855491042	0.183321896572339	-0.176536327671504	-0.399613795672355	-0.144190150450508	-0.172106201697008	0.284016787609739	-0.444575569309399	-0.794762630823007	0.689222547501832
BGV006899	0.174534037589108	-0.205285083421727	0.159221994374741	1.92509985211144	0.862277135207437	0.591567671638584	0.405855896993453	0.553943031162085	0.834984016010559	0.553943031162085	-0.689222547501832	0.770516133047134	-0.267405939935071	0.98455894483498	0.834984016010559
BGV006901	-0.0377593966194057	-0.461307070051608	-0.251788147351179	-0.618653607602669	0.241823153406356	-0.274839577018141	-0.389414297852144	0.128075566396302	0.631137978608047	0.128075566396302	-0.203800609187207	0.251739742390621	-0.159221994374741	0.375879650718902	0.468046198144695
BGV006904	-0.495167446261611	-0.00755015689655547	-0.128705906664142	-0.330577220059425	0.393070358879646	-0.427809515045659	-0.613729729501648	-0.29145855491042	0.124876758928478	-0.29145855491042	0.612249537909922	-0.300264833276434	-0.0680031427439208	0.572654012296242	0.316592542654162
BGV006906	0.159221994374741	0.346568302422109	0.083146641375239	0.189887113917251	-0.98455894483498	0.341823030741537	-0.0303880492687253	-0.0319369986870564	-0.187929806225951	-0.0159664635457842	0.433576127646078	-0.0467243547538138	0.0983092327947111	-1.40764684509272	0.791638607743375
BGV006907	0.478168724940223	-0.618653607602669	0.637043690078756	0.637043690078756	-0.095941695626559	0.909554838541739	1.31688018953981	0.410378026831998	-0.109200481691432	0.517086837682098	0.156325575894448	0.0311432730320925	0.529605410657402	-1.32638146274556	0.416534901828723
BGV006910	-0.298842474532533	0.995944507566844	-0.0377593966194057	-0.236231533003991	0.0319369986870564	-0.225415504756973	-0.577448729992901	-0.160342267446307	-1.20083898881393	-0.176536327671504	0.36610635680057	-0.50308170007301	-0.0377593966194057	0.0479156842923997	-0.857254320221178
BGV006927	0.461307070051608	-0.547060236341645	0.878784610096489	1.76055793854814	0.427809515045659	0.630049160967473	1.04295378615715	0.773053961585312	0.749731969405294	0.773053961585312	-0.709102503409024	0.950979255070526	0.58248363142221	0.46307291711285	1.23349456196869
BGV006931	0.298842474532533	-0.65565179297686	0.7325131463131	0.346568302422109	-0.610695366820048	0.308158428474715	0.809579632118835	0.176536327671504	0	0.225415504756973	0	-0.284016787609739	0.637043690078756	-1.60597112358835	-1.00111712584397
BGV006934	0.529605410657402	-0.346568302422109	1.48119650655781	0.512310475491004	0.324944693878104	0.709995371569857	0.919994262349219	0.730690609131762	-0.21972291581858	0.816852476771834	-0.235701125760499	0.21972291581858	1.21887519348102	-0.393070358879647	0.124876758928478
BGV007015	0.512310475491004	0.0377593966194055	0.65565179297686	-0.143947193535562	1.03780025665793	0.862277135207437	0.595491242138773	0.794762630823007	-0.0155697487574936	0.794762630823007	-0.0779243890270372	0.399613795672355	0.674489750196082	0.839348302319338	1.13910734320755
BGV007017	0.251788147351179	0.083146641375239	0.512310475491004	0.65565179297686	0.751703642612019	0.669487246688741	0.389414297852144	0.610695366820048	0.382806348430005	0.591567671638584	-0.50308170007301	0.975741569736452	0.411476879057021	0.816852476771834	1.51238958606768
BGV007023	0.411476879057021	-0.0377593966194057	0.674489750196082	0.674489750196082	0.610695366820048	0.773053961585312	0.261198552995917	0.358799317958353	0.433576127646078	0.427809515045659	-0.729266746432731	0.433576127646078	0.495167446261611	0.480920153761707	-0.21972291581858
BGV007109	-1.92509985211144	0.427967614598895	-2.36413369987021	-1.21887519348102	-0.241823153406356	-1.73465152202038	-1.43420015968638	-1.01082141652608	-0.251739742390621	-1.12368543654129	0.520831048339629	-0.729266746432731	-1.63328229572298	0.553943031162085	-1.51238958606768
